艾叶,ai'ye
凤尾草,feng'wei'cao
佛手,fo'shou
浮海石,fu'hai'shi
茯苓,fu'ling
茯苓皮,fu'ling'pi
覆盆子,fu'pen'zi
茯神,fu'shen
浮小麦,fu'xiao'mai
附子,fu'zi
甘草,gan'cao
干姜,gan'jiang
甘松草,gan'song'cao
藁本,gao'ben
高良姜,gao'liang'jiang
葛根,ge'gen
蛤蚧,ge'jie
枸杞子,gou'qi'zi
钩藤,gou'teng
谷精草,gu'jing'cao
骨碎补,gu'sui'bu
瓜蒌壳,gua'lou'ke
瓜蒌皮,gua'lou'pi
贯众,guan'zhong
广藿香,guang'huo'xiang
龟板胶,gui'ban'jiao
龟甲胶,gui'jia'jiao
鬼箭羽,gui'jian'yu
桂枝,gui'zhi
海风藤,hai'feng'teng
海金沙,hai'jin'sha
海龙,hai'long
海马,hai'ma
海螵蛸,hai'piao'xiao
海桐皮,hai'tong'pi
海藻,hai'zao
合欢皮,he'huan'pi
何首乌,he'shou'wu
荷叶,he'ye
黑白丑,hei'bai'chou
黑蚂蚁,hei'ma'yi
黑顺片,hei'shun'pian
红花,hong'hua
红藤,hong'teng
红枣,hong'zao
胡黄连,hu'huang'lian
琥珀,hu'po
虎杖,hu'zhang
化橘红,hua'ju'hong
滑石粉,hua'shi'fen
怀牛膝,huai'niu'xi
黄柏,huang'bai
黄连,huang'lian
黄毛耳草,huang'mao'er'cao
黄芪,huang'qi
黄芩,huang'qin
黄药子,huang'yao'zi
火麻仁,huo'ma'ren
寄生,ji'sheng
鸡血藤,ji'xue'teng
姜半夏,jiang'ban'xia
僵蚕,jiang'can
姜夏,jiang'xia
降香,jiang'xiang
焦山楂,jiao'shan'zha
焦栀子,jiao'zhi'zi
桔梗,jie'geng
芥子,jie'zi
金钱草,jin'qian'cao
金银花,jin'yin'hua
金樱子,jin'ying'zi
荆芥,jing'jie
酒地龙,jiu'di'long
橘核,ju'he
菊花,ju'hua
决明子,jue'ming'zi
苦楝皮,ku'lian'pi
苦参,ku'shen
昆布,kun'bu
老鹳草,lao'guan'cao
荔枝核,li'zhi'he
连翘,lian'qiao
莲须,lian'xu
羚羊角,ling'yang'jiao
灵芝,ling'zhi
刘寄奴,liu'ji'nu
六月雪,liu'yue'xue
龙胆草,long'dan'cao
龙骨,long'gu
龙葵,long'kui
芦根,lu'gen
鹿角胶,lu'jiao'jiao
鹿角片,lu'jiao'pian
鹿角霜,lu'jiao'shuang
路路通,lu'lu'tong
鹿衔草,lu'xian'cao
萝卜子,luo'bo'zi
络石藤,luo'shi'teng
马鞭草,ma'bian'cao
马勃,ma'bo
麻黄,ma'huang
麻黄根,ma'huang'gen
麦冬,mai'dong
蔓荆子,man'jing'zi
玫瑰花,mei'gui'hua
蜜枇杷叶,mi'pi'pa'ye
米仁,mi'ren
蜜紫菀,mi'zi'wan
绵茵陈,mian'yin'chen
墨旱莲,mo'han'lian
木瓜,mu'gua
木蝴蝶,mu'hu'die
木通,mu'tong
木香,mu'xiang
南沙参,nan'sha'shen
牛蒡子,niu'bang'zi
藕节炭,ou'jie'tan
胖大海,pang'da'hai
炮姜,pao'jiang
炮山甲,pao'shan'jia
佩兰,pei'lan
蒲公英,pu'gong'ying
蒲黄,pu'huang
蒲黄炭,pu'huang'tan
蕲蛇,qi'she
茜草,qian'cao
前胡,qian'hu
千里光,qian'li'guang
千年健,qian'nian'jian
牵牛子,qian'niu'zi
芡实,qian'shi
羌活,qiang'huo
秦艽,qin'jiao
秦皮,qin'pi
青黛,qing'dai
青风藤,qing'feng'teng
青蒿,qing'hao
青龙衣,qing'long'yi
青皮,qing'pi
青葙子,qing'xiang'zi
瞿麦,qu'mai
全虫,quan'chong
全蝎,quan'xie
全衣,quan'yi
忍冬藤,ren'dong'teng
肉苁蓉,rou'cong'rong
肉豆蔻,rou'dou'kou
肉桂,rou'gui
三棱,san'leng
三七,san'qi
三叶青,san'ye'qing
桑白皮,sang'bai'pi
桑螵蛸,sang'piao'xiao
桑椹,sang'shen
桑叶,sang'ye
桑枝,sang'zhi
砂仁,sha'ren
沙苑子,sha'yuan'zi
山慈菇,shan'ci'gu
山豆根,shan'dou'gen
山奈,shan'nai
山药,shan'yao
山楂,shan'zha
蛇床子,she'chuang'zi
射干,she'gan
蛇褪,she'tui
伸筋草,shen'jin'cao
神曲,shen'qu
生地,sheng'di
生姜皮,sheng'jiang'pi
生姜衣,sheng'jiang'yi
生军,sheng'jun
升麻,sheng'ma
石菖蒲,shi'chang'pu
石膏,shi'gao
石斛,shi'hu
石决明,shi'jue'ming
使君子,shi'jun'zi
石榴皮,shi'liu'pi
石楠叶,shi'nan'ye
石韦,shi'wei
首乌藤,shou'wu'teng
熟地,shu'di
熟军,shu'jun
水牛角,shui'niu'jiao
丝瓜络,si'gua'luo
苏木,su'mu
锁阳,suo'yang
太子参,tai'zi'shen
烫水蛭,tang'shui'zhi
桃仁,tao'ren
藤梨根,teng'li'gen
天冬,tian'dong
天花粉,tian'hua'fen
田基黄,tian'ji'huang
天葵子,tian'kui'zi
天麻,tian'ma
葶苈子,ting'li'zi
通草,tong'cao
土茯苓,tu'fu'ling
土荆皮,tu'jing'pi
菟丝子,tu'si'zi
威灵仙,wei'ling'xian
五倍子,wu'bei'zi
蜈蚣,wu'gong
乌梅,wu'mei
乌梢蛇,wu'shao'she
乌药,wu'yao
乌贼骨,wu'zei'gu
吴茱萸,wu'zhu'yu
稀莶草,xi'xian'cao
细辛,xi'xin
西洋参,xi'yang'shen
夏枯草,xia'ku'cao
仙鹤草,xian'he'cao
仙灵脾,xian'ling'pi
仙茅,xian'mao
香加皮,xiang'jia'pi
香薷,xiang'ru
小茴香,xiao'hui'xiang
小蓟,xiao'ji
薤白,xie'bai
辛夷,xin'yi
杏仁,xing'ren
雄丁香,xiong'ding'xiang
徐长卿,xu'chang'qing
续断,xu'duan
旋覆花,xuan'fu'hua
玄胡,xuan'hu
玄明粉,xuan'ming'fen
玄参,xuan'shen
血竭,xue'jie
血余炭,xue'yu'tan
寻骨风,xun'gu'feng
盐补骨脂,yan'bu'gu'zhi
延胡索,yan'hu'suo
盐益智仁,yan'yi'zhi'ren
阳起石,yang'qi'shi
夜交藤,ye'jiao'teng
野菊花,ye'ju'hua
益母草,yi'mu'cao
薏苡仁,yi'yi'ren
一枝黄花,yi'zhi'huang'hua
银柴胡,yin'chai'hu
淫羊藿,yin'yang'huo
郁金,yu'jin
郁李仁,yu'li'ren
鱼腥草,yu'xing'cao
玉竹,yu'zhu
元胡,yuan'hu
元参,yuan'shen
皂角刺,zao'jiao'ci
蚤休,zao'xiu
泽兰,ze'lan
泽泻,ze'xie
浙贝母,zhe'bei'mu
制草乌,zhi'cao'wu
制川乌,zhi'chuan'wu
制大黄,zhi'da'huang
炙甘草,zhi'gan'cao
制狗脊,zhi'gou'ji
制关白附,zhi'guan'bai'fu
制何首乌,zhi'he'shou'wu
制黄精,zhi'huang'jing
炙黄芪,zhi'huang'qi
炙款冬花,zhi'kuan'dong'hua
制马兜铃,zhi'ma'dou'ling
炙麻黄,zhi'ma'huang
制没药,zhi'mei'yao
知母,zhi'mu
制女贞子,zhi'nv'zhen'zi
制乳香,zhi'ru'xiang
制山茱萸,zhi'shan'zhu'yu
制首乌,zhi'shou'wu
制五味子,zhi'wu'wei'zi
制香附,zhi'xiang'fu
制萸肉,zhi'yu'rou
制远志,zhi'yuan'zhi
栀子,zhi'zi
猪苓,zhu'ling
竹茹,zhu'ru
朱砂,zhu'sha
紫草,zi'cao
紫河车,zi'he'che
紫花地丁,zi'hua'di'ding
紫金牛,zi'jin'niu
紫苏梗,zi'su'geng
紫苏叶,zi'su'ye
紫苏子,zi'su'zi
